（二黄慢板）, 仰面 朝天 自己 嗟叹   司马懿 可 算得 将 中 魁元   送 脂粉 和 钗裙 不 恼 可赞   反 与 那 旗 牌官 酒食 来 餐   有 刚 有 柔是 好汉   我 诸葛 要 学 他 难上加难   先帝 爷下 南阳 君臣 见面   受 深恩 定 扭转 汉 室 江山   博望 坡 烧 曹兵 初次 交战   借东风 助 周郎 火烧 战船   用 火攻 烧 藤 甲 南蛮 丧胆   谁 不 知 诸葛亮 计 能 扭天   到 如今 遇 司马 两 下 会战   葫芦 谷设 地雷 定下 机关   我 料 他 父子们 定 遭 此 难   又 谁 知 天 不 随 也 是 枉然   一霎时 急得 我 遍体 是 汗
（二黄慢板）, 怕 的 是 大数 到 性命 难 全
（同二黄摇板）, 忽听 帐内 闹声喧   忙 到 帐内 看 分明
（二黄导板）, 一霎时 玉兔 升星 明朗 见
（二黄原板）, 又 听得营 棚内 打 罢初 更   叫 三军 掌银灯 把 高岗 来 进
（二黄原板）, 虎目 圆睁 看 分明   观 东方 甲乙木
（二黄原板）, 见 北斗 主星 黑暗 不明   那 诸葛 本 是 七 星 保命   算 就 了 五丈原 必 落 此 星   叫 三军 把 高岗 下 听 我 号令
（二黄摇板）, 若 见 那 灵官 走定 是 孔明   四 更 时分 造 战 饭   五 更 一 打 要 交兵   此 一 番 一 个个 用力 战胜   回营 中 奏 皇封 都 是 功臣
（二黄慢板）, 为 国家 把 我 的 心血 用尽   都 只为 先帝爷 托孤 之恩   执 宝剑 上 玄台 难以 扎挣   险些 儿把 老夫 跌倒 埃尘
（二黄原板）, 诸葛亮 不 敢 扭天 行   为的 是 吾 主 锦 乾坤   拜 北斗 和 南斗赐 我 阳寿   执簿官 掌 笔庚 留下 人情   中央 戊已 深深 拜
（二黄摇板）, 北斗 星光 渐渐明   纵然 拜 起 主星 台北 斗   不 知 生死 若何论
（二黄摇板）, 司马懿 父子 来 踹营   报 与 丞相 得知 情
（二黄摇板）, 想 是 我 大限 有 一定   魏延 打熄 本命 灯   将 宝剑 插在 尘埃 地
（二黄摇板）, 丞相 为何 发 雷霆
（二黄摇板）, 我 今拜 灯 整 六 天   看看 七 日 大 功 全   恨 魏延 他 把 我 本命 灯 扑 暗   我 的 性命 就 在 顷刻间
（二黄摇板）, 我 师父 拜 斗 六 天 整   看看 拜 起 本命星   为何 将 灯 来 打熄   想 是 贼子 起 反心   手执 宝剑 将 你 砍
（二黄摇板）, 将军 息怒 慢稍停
（二黄摇板）, 姜维 与 我 快些 请   后帐 快 请 李 大人
（二黄摇板）, 忽听 丞相 唤 一 声   急忙 进帐 问 分明
（二黄摇板）, 对着 西川 深深 拜   拜谢 后主 爵禄恩   羞愧 难 见 刘 先主   李 大人 你 速速 转奏 奔 都城
（二黄摇板）, 辞别 丞相 跨金镫   不分昼夜 奔 都城
（二黄原板）, 必须 要 学 师父 扶保 乾坤   我 命该 活 七十四   祭 东风 损去 十 年 春   烧 藤 甲 又 损我 十 年寿   到 如今 五十四 岁 命 归阴   我 死 后 要 依 我 三 件 要事   一 桩桩 一 件件 牢记 在心
（二黄原板）, 第一 件 满 营 中休 要 举哀 挂孝
（二黄原板）, 第二 件 必须 要 缓缓 移营
（二黄原板）, 第三 件 我 死后 魏延 必 反
（二黄摇板）, 我 自有 妙计 杀 此人
（二黄摇板）, 我 将 这 奇门遁甲 传 与 你   阵阵 不 离 此 图形   这 一 弩 能 发 十 条 箭   九 伐 中原 你 当承
（二黄摇板）, 将军 与 我 传 一 令   快 传马岱
（同二黄摇板）, 忽听 帐 中 传 一 令   见 了 丞相 问 分明
（二黄摇板）, 指望 霸业 归炎汉   谁 知 半路 不 周全   猛然 睁开 昏花眼   又 只 见 众 将官 站立 面前
（二黄摇板）, 我 死后 军师 牌 印 你 掌管   事事 小心 须 周全   我 今 与 你 一 小 柬   里面 安排 巧 机关
（二黄摇板）, 我 与 你 一 封 书 和 柬   我 死 之后 仔细 观
（二黄摇板）, 我 今 与 你 书 和 柬   这 里面 暗藏 巧 机关   倘若 魏延 造 了 反   只 须 如此 并 这般
（二黄摇板）, 众将官 搀扶 我 把 先帝爷 拜见   诸葛亮 营 中叩 龙颜   恕为 臣 不 能 与 主重 兴汉   恕 为 臣 不 能 与 主保 江山   霎时间 心血 涌 遍体 是 汗   我 面前 站定 了 庞统 士元
（二黄摇板）, 在 荆州 对 将 八字 推算
（二黄摇板）, 我 二 人 各 有 不 周全
（二黄摇板）, 我 算 他 落 凤 坡 前 带 箭 死
（二黄摇板）, 他 道 我 难逃 五丈原
（二黄摇板）, 一霎时 咽喉 哽 心血 上犯   无常 到 万事 休 命 赴 九泉
（二黄原板）, 金钟 响 玉磬 鸣 王登 宝殿   未为 君 也 有 那 文武 两 班   可笑 那 汉 皇帝 龙身 鼠胆   由 着 孤 改 年号 哪个 敢 拦   我 父王 人 忠 正 性情 太软   为 旁人 出 死力 整顿 江山   可笑 他 秉 忠心 不 忘 炎汉   全 不 想 坐 天下 唯有 强权   虽然 是 众 文武 保 孤登殿   众 兄弟 未 奔丧 孤 心不安   黄须儿 平日 里 能征惯战   怕 的 是 要 学 那 袁尚
（二黄原板）, 盖世 聪明 有 学问   眼空四海 目无人   吾父 在 朝 官 极品   富贵 荣华 一 满门   我 兄 曹丕人 凶狠   助纣为虐 是 华歆   乱臣 贼子 人人 恨   家 不安 来 国 不宁   我 只 得以 酒 来 解闷   作 两 首 新诗 散 一 散心
（二黄原板）, 你 我 饮酒 把 诗吟   你 好比 管仲 你 比晏婴
（二黄原板）, 你 好比 孔 圣人 又 复生
（二黄原板）, 自古 才 子多 薄命
（二黄原板）, 可笑 曹丕 是 庸人
（二黄原板）, 你 可知 庸人 有 福份
（同二黄原板）, 运败 时 衰 他 祸临身
（二黄原板）, 我 三 人 饮酒 多 高兴   不觉席 前 醉 沉沉
（西皮二六板）, 未 曾 开 言 泪 难忍   尊 声 兄 王龙 耳听   父王 晏驾 太 不幸   怕 的 是 刘备
（西皮摇板）, 辞别 母亲 出 门庭   一 到 京城 求 功名
（西皮摇板）, 一 见 我 儿奔 京城   倒 叫 老身 挂 在 心
（西皮摇板）, 家中 奉 了 母亲 命   去 到 京城 求 功名
（西皮摇板）, 走过 了 许多 的 高山 峻岭   真 乃 是 花 景地 水 秀山 清   正 行走 来 用 目观定   又 只 见 一 学生 面前 来 迎
（西皮摇板）, 念 小弟 住 京城 孤身 伶仃   幸喜 的 与 仁兄 萍水 相逢
（西皮摇板）, 钟子期
（西皮二六板）, 张小莲 在 船头 用 目 观看   在 那边 来 了 个 清秀 少年
（西皮摇板）, 来到 大街 上用 目 观看   大 花 船 小花 船 真真 可观   行 一 步 来 在 了 官 船 边上   见 一 位 小 大姐 月 里 天仙
（西皮原板）, 开言 我 把 相公 问   问 相公 你 叫 什么 名
（西皮原板）, 湖州 城里 有 家门   我 的 名叫 甘习文
（西皮原板）, 听说 他 叫 甘习文   不由 小 莲 喜 在心   我 这里 将 金钗 拿定
（西皮原板）, 三更 时 叫 相公 再 说 分明
（西皮摇板）, 自 那日 与 小姐 见 了 一 面   倒 叫 我 甘习文 挂 在 心 前   叫 妈妈 你 扶我 病床 来 上   我 有心 将 此 事 细 对 你 言
（梆子二六板）, 张小莲 我 这里 用 目 端详   见 丫鬟 与 习文 面目 相像   在 船头 我 与 他 见 过 一 场   但 不知 我 二 人 何日 相傍
（梆子原板）, 行走 来 在绣 楼外   见 了 女儿 说 明白
（同梆子原板）, 我 与 你 成 夫妻 相亲 相爱   做 一 对 好 夫妻 永 不分开
（西皮摇板）, 小 奴才 做 此 事 心中 何忍   活活 地气 坏 了 我 年迈人   你 将 我 家中 父母 全 不 当人   不如 打死 你 败家 的 根
（西皮摇板）, 老爷 不必 怒气生   为妻 言 来 听 分明
（西皮摇板）, 猛然 睁开 昏花眼   又 见 母亲 在 面前
（西皮摇板）, 在 此 金殿 用 目睁   倒 叫 某 家 喜 心中   我 今 不 打 万历主   只怕 江山 不太 平   我 把 铜锤 拿 在手   我 今 要 打主 圣龙
（西皮摇板）, 一 见 孙安绑 下殿   好不叫人 心痛酸   职都 押 在 龙 书案   收心 务本 种 庄田
（西皮摇板）, 一 见 千 岁 下 金殿   倒 叫 杨溥泪 不 干   职 都 押 在 龙 书案   山西 蒲州 快乐 安然
（西皮摇板）, 众位 大人 下 金殿   倒 叫 下官 不 耐烦   职都 押 在 龙 书案   收心 务本 不 居 官
（西皮摇板）, 众位 大人 把 殿下   倒叫杨 太 泪 汪汪   在 金殿
（西皮摇板）, 满 朝 文武 俱 下殿   留 我 一 人保 江山
（西皮原板）, 在 金殿献 地图 用 目 观看   你 听 小王 对 你 言   上 写 着 云南 道 居 官 不 浅
（西皮原板）, 四川 城内 去 居 官
（西皮原板）, 湖北 居 官路 长远   你 到 那里 把 民安
（西皮原板）, 这 不 好来 那 不 好   荆州 二 府 去 坐 官
（西皮散板）, 张秉仁 害死 我 儿命   害得 我 居家 好 苦情   手拿 状子 把 堂上   黄 知府 打鼓 退堂 中
（西皮摇板）, 二 爹娘 请 上 受 儿拜
（西皮原板）, 拜 过了 二 位 爹娘 好 恩情   你 的 儿遭 不幸丧 了 性命   闪 下 了 二 爹娘 无人 照成   怀儿 里 抱 灵牌 心酸 悲痛   死后 的 奴 的 夫细 听 分明   自幼儿 在 寒窗 习 读 孔孟   你 一心 上京 去 求取 功名   上京 去 你 不 该 贼人 讲话   张秉仁 才 起 了 狗肺狼心   用 药酒 他 把 你 害了 性命   抛下 了 二 爹娘 无人 敬奉   恨 只 恨 把 灵牌 摔在 了 地
（西皮快板）, 二 爹娘 他 与 我 把 话 明   我 这里 将 灵牌 供 在 桌 中   怀抱 婴儿诉 恩情   娘怀儿 一 个 月 不知不觉   娘怀儿 两 个 月 有 影 无踪   娘怀儿 三 个 月 才 成 血饼   娘怀儿 四 个 月 将 分 人形   娘怀儿 五 个 月 寸步难行   娘怀儿 六 个 月 六丁六甲   娘怀儿 七 个 月 七星 北斗   娘怀儿 八 个 月 不 敢 远行   娘怀儿 九 个 月 难行 难动   娘怀儿 十 个 月 儿要 降生   那 一 日 为 娘 我 腹内 疼痛   走 前庭 串 后 庭 坐卧不宁   那时 节 你 祖母 知道 了   烧化 纸钱 祝 告 神灵   我的儿 降生 来 满心 欢喜   谁 知道 母子们 今日 离 分   我 儿 好比 一 棵 蒿   终日 里 打水 将 你 浇   实 指望 久 后成 棵树   谁 又 想 半路 把 你 抛   我 的 儿久 后成 人大   你 与 你 死后 的 爹娘 报仇 消
（西皮导板）, 耳边厢 又 听 得 人马 喊动
（西皮摇板）, 眼巴巴 母子们 不 得 相逢
（梆子按板）, 河南 八 府 出庄郎   二十四 孝 有 王祥   他 母 得了 胃大症   寒 九 天 要 吃 鲜 鱼汤   冰雪 载地 无处 买   惊动 行孝 小 王祥   万般 实在 无计求   只得 把 热身 躺在 冷冰 上   好心 感动 天和地   惊动 四海 老 龙王   对对 鲤鱼 往上 送   王祥卧 鱼 回 家乡   他 的 母用 鱼 好 了 病   小 王祥孝 名 万古扬   桂香 不 把 他人 比   要 学 贤惠 一孟姜
（梆子按板）, 来 至 经堂 外 侧耳 仔细 听
（梆子按板）, 又 听得 黄桂香 哭 她 亲娘
（梆子导板）, 一 言 吓住 黄桂香
（西皮慢板）, 小 奴才 说 此话 全然 不 想   不由得 年迈 人 怒 满 胸膛   你 大姐 配 苏 龙 户部 执掌   你 二姐配 魏 虎 兵部 侍郎   惟有 你 小 冤家 性情 倔强   千 金 女 配花郎怎度 时光
（西皮慢板）, 老 爹爹 说 此话 全 不 思想   细 听着 孩儿 说 端详   秦甘罗一十二 身为 宰相   姜 子牙 八十二 才 遇 文王   你 莫道 薛平贵 他 花郎 模样   贫穷 人 发迹 比富 还 强
（西皮原板）, 薛平贵 生来 命运 低   每 日 里 在 长街 去 讨食   半截 褴衫 罩 不住 身体   遮住 东来 露 着 西
（西皮原板）, 昔日 里 有 一 个 孟姜女   他 与 那 范郎 送 寒衣   哭 倒 了 长城 十 数 里   至今 留名 万古题
（西皮原板）, 前朝 事儿
（西皮流水板）, 休 提起   千 金 怎 为 花郎妻
（西皮流水板）, 昔日 韩信 曾 受困   登台 拜 帅落 美名
（西皮流水板）, 既 知 前 朝韩 元帅   未央宫 死的 是 什么人
（西皮流水板）, 未央宫 死的 是 韩信   可 知 那 张良与 苏秦
（西皮流水板）, 沈宏 也 会 把 亲退   另配 姻缘 为何 情
（西皮流水板）, 沈宏 虽然 把 亲退   他 乃是 不义 不肖人
（西皮流水板）, 要 退 要 退 偏 要 退
（西皮流水板）, 你 不 能 不 能 万 不 能
（西皮流水板）, 两 件 宝衣 来 脱下
（西皮流水板）, 再 与 爹爹 把 话 明
（西皮摇板）, 老 爹爹 不念 父女意   孩儿 焉有 儿女情   忙 把 宝 衣齐 脱下
（西皮摇板）, 递于 嫌贫爱 富人
（西皮摇板）, 爹爹 不必 把儿 为   孩儿 不 做 那 无 义人   三从四德 是 本分   怎 敢 爱 富 来 嫌 贫   要 与 爹爹 三 击掌   从 今后 不 登 相 府门
（西皮摇板）, 宝钏 说话 太 无情   到 叫 老夫 怒 生嗔   今日 与 吾 三 击掌   从 今后 就 断了 父女情
（西皮摇板）, 非 是 孩儿 心 太 狠   只 为 不贤 留 骂名   悲切切 我 这里 三 击掌
（西皮摇板）, 活活 气坏 了 年 迈 人
（西皮摇板）, 叫 丫鬟 带路 后堂 进
（西皮摇板）, 到 后堂 拜别 老 娘亲
（西皮摇板）, 老 爹爹 不许 吾 把 老娘 见   倒 叫 宝钏痛 在心   含悲 忍 泪 出 府 门
（西皮摇板）, 去 到 寒窑 中 把 身 存
（西皮摇板）, 这 丫鬟们 她 倒有 主仆 义   恋恋不舍 两 泪 淋   咬定 牙关 出相府
（西皮摇板）, 到 破瓦寒窑 中 暂 度 光阴
（西皮摇板）, 为人 养子 如 养花   生儿 莫 养女 娇娃   当面 孝顺 背地 里 骂   女生 外相 向 人家
（西皮散板）, 来 在 都察院   举目 往上 观   两 旁 的 刽子手   吓 得 我 胆 战 心 又 寒   苏 三 此 去 好 有 一 比
（西皮散板）, 鱼儿 落网 有 去 无 还
（西皮散板）, 本院 抬头 来 观看   犯妇 果然 是 苏 三   一霎时 只 觉得 神昏意乱
（西皮导板）, 玉堂春跪 至 在 都察院
（西皮慢板）, 玉堂春本 是 公子 他 取的名
（西皮慢板）, 鸨儿 买 奴 七 岁 整
（西皮慢板）, 在 院中 住 了 整 九 春
（西皮慢板）, 十六 岁 开怀 是 那
（西皮慢板）, 是 那王
（西皮慢板）, 王公子 啊
（西皮慢板）, 他 本 是 吏部 堂上 的 三 舍人
（西皮原板）, 初 见面 银子 三百 两   吃 一 杯 香茶 就 动身
（西皮原板）, 公子 二 次 把 院进   随 带来 三万六千 银
（西皮原板）, 在 院中 未到 一 年 整   三万六千 银 一 概 化 了 灰尘
（西皮原板）, 先买 金杯 和 玉盏   又 买 翠盘 与 翠瓶   南楼 北楼 公子 造   又 造出 一 座 百花亭
（西皮原板）, 王八 鸨儿 心 太 狠   数九寒天 将 公子 就 赶出 了 院门
（西皮原板）, 公子 一 怒 出 了 院   关 王 庙 内 去 把 身存
（西皮原板）, 那 一 日 金 哥 来 报信   手 把 纹银 探望 情人
（西皮原板）, 不顾腌脏 怀中 抱   在 神案 底下 叙叙 旧情
（西皮原板）, 打发 公子 南京 去   在 那 落 凤 坡 前 遇 强人
（西皮原板）, 只 落得 长街 把 饭 讨
（西皮原板）, 到 晚来 在 那 吏部 堂 上去 巡更
（西皮原板）, 公子 三 次 把 院进   拐带 银子 转回 南京
（西皮二六板）, 自从 公子 回原 郡   奴 在 北楼 装病 形   公子 立志 不 另娶   玉堂 春 至死 不 嫁人
（西皮流水板）, 那 一 日 梳妆来 照镜   在 楼下 来 了 沈燕林   他 在 楼下夸 豪富   胜 比 公子 强 十分   奴 在 北楼 高 声 骂   只 骂 得 燕 林 脸 含嗔   羞愧 难当 回 店 转   主仆 二 人 又 把 巧 计生
（西皮流水板）, 做媒 的 银子 三百 两   王八 鸨儿 一 斗 金   鸨儿 贪财 将 奴卖   她 将 奴 卖 与 了 沈燕林   假说 公子 得了 中   他 得 中 皇榜 第一 名   奴 为 他 关王 庙 内 把 香进   这 才 一 马 就 到 了 洪洞
（西皮流水板）, 在 洪洞 住 了 一 年 整   皮 氏 贱人 起 毒心   一 碗 药面 付 奴手   奴 回手 付与 那 沈 官人   官人 不解 其中 的 意   他 吃 了 一 口 哼 一 声   昏昏 沉沉 倒在地   七 孔 流血 他 就 命 归阴
（西皮流水板）, 皮氏 一 见 冲冲 怒   她 道 奴 谋 死 亲 夫君   高 叫 乡约 和 地保   拉拉扯扯 就 到 公庭
（西皮摇板）, 头 堂 官司 问 得好
（西皮摇板）, 二 堂 官司 就 变了心
（西皮摇板）, 洪洞县 受赃 银 一千 两
（西皮流水板）, 府衙 分散 有 八百 银
（西皮流水板）, 上堂 来 先 打 四十 板
（西皮流水板）, 皮鞭 打断 了 有数 根
（西皮流水板）, 犯妇 本当 不 招认   无情 的 拶子 我 就 难 受刑
（西皮流水板）, 在 监中 住 了 一 年 整
（西皮流水板）, 并 无 一 人 来 探望 奴 的 身
（西皮摇板）, 她 不 来看
（西皮流水板）, 王公子 一 家 多 和顺   他 与 我 露水 的 夫妻 就 有 什么 情
（西皮流水板）, 眼前 若 有 王公子   脱 骨 换 胎 我 也 认得 清
（西皮散板）, 眼前 若 有 公子 在   纵 死 黄泉 也 甘心
（西皮摇板）, 苏 三 堂 下 把 话 论   念念不忘 三 舍人   本当 下位 将 她 认
（西皮摇板）, 王法 条条 不 徇情   左思右想 心不定
（西皮二六板）, 这 场 官司 未 动刑   玉堂 春 这里 我 就 放了 宽心   出 得 察院 回头看
（西皮快板）, 这 大人 好似 王金龙   是 公子 就 该 将 我来认
（西皮快板）, 王法 条条 不 徇情   向前 去 说句 知心话   看他 就 知情 不 知情
（西皮摇板）, 玉堂 春 好比 花中蕊
（西皮快板）, 王公子 好比 采花蜂   想 当初 花开多 茂盛   他 好比 那 蜜蜂 儿 飞来 飞去 采 花心   如今 不见 公子 面   我 那 三
（西皮摇板）, 花 谢时 怎不 见 那 蜜蜂 儿行
（西皮散板）, 悲 悲切切 出察院   我 看他 把 我 怎样 施行
（二黄慢板）, 王春娥 坐 草堂 自 思 自叹   思想 起 我 儿夫 好不 惨然   遭 不幸 薛郎夫 镇江 命染   多亏 了 老薛保搬尸 回还   奴 好比 南来 雁失群 无伴   奴 好比 破 梨花 不 能 团圆   薛倚儿 好 一 似 无 弓 之 箭   老薛保好 一 似 浪 里 舟 船   将 身儿 来 至 在 机房 织绢   等候 了 我的儿 转回 家园
（二黄原板）, 有 薛倚 在 学 中 来 把 书念   怀抱 着 圣贤 书 转回 家园   众 学友 一个个 说长道短   他 道 我 无 娘亲 好 不 惨然   因此 上回 家 去
（二黄原板）, 与 母 争辩   又 只见 老 薛保 站立 门前
（二黄原板）, 听说 是 我 母亲 机房 织绢   走上 前 施一礼儿 见母安
（二黄原板）, 小 奴才 不 读书 把 娘 气坏   有 几 个 年幼 人儿 且 听来   秦 甘 罗 十二 岁 身为 太宰   石敬塘 十三 岁 拜 帅 登台   三 国 中 周公瑾 名扬 四海   七 岁 上学 道法 人称 将才   十三 岁 在 东吴 挂印 为 帅   烧 曹兵 八十三 无 处 葬埋   那 都 是 父母 养 非 神 下降   难道 说 小 奴才 禽兽 投胎
（二黄摇板）, 手执 家法 将 儿来打
（二黄摇板）, 你 打 别人 孩儿 好 不害羞
（二黄原板）, 小 奴才 一 言 问住 了 我   闭口无言 王 氏 春娥   叫 一 声 薛郎夫 阴曹 等 我   等候 了 你 的 妻 同 见 阎罗   我 那 薛郎夫吓
（二黄原板）, 小 东人 下学 来 机房 闯祸   好 一 似 火上 又 把 油泼
（二黄原板）, 三 主 母 在 机房 啼哭 闷坐   转面 来 问 一 声 东人 一个
（二黄原板）, 你 的 母 教训 你 非 为 之 过   为什么 将 好言 当作 了 恶 说   东人 哪
（二黄原板）, 这 才 是 养子 不 教父 之 过   教 不 严 来 师 之 惰   老薛保进 机房 双膝 跪落
（二黄原板）, 问 三 娘 发 雷霆 却 是 为何
（二黄原板）, 老 薛保 你 不 必 苦苦 哀告   三 娘 言 来 细 听 根苗   自古道 养 娇儿 终身 有靠   又 谁 知 小 奴才 平日 无故
（二黄原板）, 劝 三 娘 休得 要珠 泪 双 掉   老奴 言 来 细 听 根苗   千 看 万 看
（二黄原板）, 你 道 他 年纪小
（二黄摇板）, 割断 了 机头 两 开 交
（二黄摇板）, 见 三 娘 怒 冲冲 把 机头 割断   吓得 我 老 薛保 胆战心寒   走上 前来 好言相劝   尊 一 声 三 主 母 细 听 根源   都 只为 老 东人 镇江 命染   是 老奴 千山万水
（二黄摇板）, 恨 只 恨 张
（二黄摇板）, 喜 只 喜 三 主 母发 下 洪誓 大 愿   你 言道 永 不 改嫁 教训 儿郎
（二黄摇板）, 莫不是 见 那张
（二黄摇板）, 留下 了 老的老
（二黄摇板）, 我 哭
（二黄摇板）, 手执 家法 未 曾 打下   他
（二黄摇板）, 他
（二黄摇板）, 啊 啊啊
（二黄摇板）, 听罢言 来 才 知情   回头 埋怨 小 东人
（二黄原板）, 遭 不幸儿 的 父 镇江 命染   多亏 了 老薛保搬尸 回还   有为 娘 不 改嫁 为 的 哪个   都 只为儿 年 小
（二黄慢板）, 手执 家法 将 儿来管
（二黄摇板）, 老 薛保 向前 忙 遮拦   你 要 打将 老奴 责打 几下   你
（二黄摇板）, 老 薛保只 哭得 我 心 好惨   他 主仆 的 恩情重如山   走上 前来 用手搀
（二黄摇板）, 从 今后 读书 不 要 贪玩
（二黄摇板）, 我的儿 好好 的 把 书 来 念
（二黄摇板）, 要 做 高官 有 何 难
（二黄摇板）, 但愿 得 我 的 儿鳌头 来 占
（二黄摇板）, 三 娘 教子 万古 传
（西皮原板）, 天地 间 古今事 令 人 难 料   也 不 知 埋没 了 多少 英豪   又 被 这 无情 的 日月 催老   倒不如 趁 时光 沽酒 逍遥
（二黄慢板）, 三 家 店内 上了绳   吊 得 豪杰 两 膀 疼   我 也 曾 走过 两 京 十三 省   未 曾 受 过 这 苦情   自幼儿 在 公衙 办 过 事   杀 得 人 来 救 得 人   马渴思饮 长 江水   人 到 难 中 想 宾朋   猛然 想起 瓦岗寨   瓦岗寨 上众 弟兄   头 一 个 就是 魏 老道   第二 山东 徐茂功   王伯当
（数板）, 夫妻 双双 开店房
（内西皮导板）, 机谋 不 成 反折 兵
（西皮摇板）, 咬牙切齿 恨 孔明   把 我 心血 俱 用尽
（西皮摇板）, 失志 败阵 又 劳神
（西皮摇板）, 屡次 兴兵 龙虎斗   损兵折将 面 含羞   诸葛 计策 真 不透   枉费 徒劳 统 貔貅
（西皮导板）, 气满 胸膛 噎咽喉
（西皮导板）, 上 写 周瑜 三 叩首
（西皮原板）, 诚惶诚恐 奉 吴 侯   为 臣光宠 不 长久   空 食 爵禄 数十 秋   倘若 为 臣 死 之后   鲁肃 可以 统 貔貅   周瑜 顿首 手书叩   甘宁 转达 奉龙楼
（西皮摇板）, 鲜血 难忍 涌 出口
（西皮摇板）, 不由 虎 目 血 泪流   本 都督 性命 不 长久
（西皮摇板）, 吾 有 一 事 要 恳求
（西皮摇板）, 对着 众将 双 叩首   拿住 孔明 报 冤仇   眼 望 江东 忙 顿首   拜叩主恩 谢吴侯   五脏 崩裂 血 涌流
（西皮摇板）, 无常 一 到 万事休
（同西皮摇板）, 气绝 咽喉 阴曹 走   可叹 英雄 万事休
（西皮摇板）, 先生 休得 自 逞强   东吴 人儿 似 虎狼   你 今 去 把 吴营闯   怕 的 失机 难 提防
（西皮摇板）, 主公 但 把 宽心 放   山人 言 来 听 端详   任他 东吴 人马 壮   自 有 妙计 暗 提防   辞别 主 公出 宝帐   哪怕 东吴 百万 郎
（西皮摇板）, 先生 此 去 心 难 放   好 叫 孤王费 思量   但愿 此 去 平 风浪   想 赵云 跟 去 料 无妨
（西皮导板）, 未 曾 开 言泪双淋
（梆子慢板）, 吾 主爷 有道 坐 北京   湖南 地 反 了 李士成   闯 贼 领兵 多 骁勇   挡住 了 运粮 河 路道 不通   叫 家 院掌 银 灯头 前 引路   到 书馆 看 一 看 王 先生
（梆子原板）, 八月 十五月 儿圆   夜夜 日日 不 安然   将 身 躺在 牙床 上   等 徒弟 他 到来 细问 根源
